ID,Title,Body,Course_Number,Credits,Prefix,Department,,,,,,,,,,
1027,Pathophysiology,"Concepts of disease/illness in the person's biological system are introduced. Focuses on the disease process, associated physiologic responses and manifestations, and diagnostic testing of selected health alterations. Must be taken concurrently with 230, 290, BIOL 296. Prerequisites: BIOL 114, CHEM 106 or 121, admission to professional nursing sequence.",342,3,NURS,NURS,,,,,,,,,,
1028,Pharmacology,"This course covers the general principles of drug therapy including absorption, distribution, metabolism and excretion of the agent. Also included are biochemical and physiological effects and how the agent is used in treatment of disease. Critical thinking in the application of the nursing process to drug therapy in individuals across the life span is stressed. Prerequisites: 230, 290, 342; BIOL 114; CHEM 106 or 121, admission to professional nursing sequence.",349,3,NURS,NURS,,,,,,,,,,
1029,Women's Health Issues,"Designed to examine women's health issues from a feminist perspective, this course explores the relationship of women to the health care system, discusses the historical role of women as providers and consumers of health care, and uses a holistic model to examine women's issues and concerns across the lifespan. The third credit is earned through an independent action project. (Equivalent to WMST 351.)",351,3,NURS,NURS,,,,,,,,,,
1030,Contemporary Issues and Emerging Trends,Contemporary issues and emerging trends in health care are examined as they relate to the increasingly complex health care system and practice. Further exploration of concepts and theory integral to the profession of nursing are examined for application to nursing practice. History and image are correlated with the evolution of nursing as a profession. Prerequisite: 340 and RN License.,353,3,NURS,NURS,,,,,,,,,,
1031,Nursing Research: Methods and Application,"Nursing students will examine a variety of quantitative, qualitative as well as evidence-based research methodologies useful in their role as care provider and member of the nursing profession. Each step of the quantitative research process will be reviewed/critiqued and then presented by students.  Students will read and analyze qualitative data.  Additionally, ethical principles and values important to the conduct of research will be explored. Prerequisites: 221, 230, 240, 290, 342, 349; MATH 130 or 230.",365,2,NURS,NURS,,,,,,,,,,
1032,Adult Health Nursing: Concepts,"This course incorporates the nursing process theory related to care of adults needing restorative and maintenance care. The general concepts of pain, cancer, and the perioperative experience are discussed. In addition, a holistic approach will be emphasized in studying the following systems: musculoskeletal, respiratory, neurological, sensory, cardiovascular, endocrine/metabolic, gastrointestinal, reproductive, hematologic, immunologic, and genitourinary. Taken concurrently with 382. Prerequisites: 221, 230, 240, 290, 342, 349.",372,4,NURS,NURS,,,,,,,,,,
1033,Adult Health Nursing: Clinical Applications,"Application of the nursing process to a diverse adult population needing restoration and maintenance care relating to the concepts and systems included in NURS 372. Prerequisites:  221, 230, 240, 290, 342, 349; concurrent with 372.",382,4,NURS,NURS,,,,,,,,,,
1034,Mind Body Therapies: Applications to Health and Illness,Current scientific research in the emerging field of psychoneuroimmunology (PNI)and the implications of this research in maintaining health and preventing illness are presented.  Demonstration and supervised practice of a variety of mind-body therapies provide opportunities for hands-on experience.  The third credit is earned through independent study and practice of one of the therapies presented during the course. Prerequisite: completion of a course in anatomy and physiology is strongly recommended.,390,3,NURS,NURS,,,,,,,,,,
1035,Adult Health Nursing: Advanced Concepts Clinical Applications,"This course continues adult health nursing theory and clinical applications in a variety of higher acuity inpatient settings. Students learn to apply theory to the care of adults needing complex restorative and maintenance health interventions. Clinical decision making in critical scenarios is strengthened through weekly simulation sessions. Prerequisites: 322, 332, 365, 372, 382.",422,4,NURS,NURS,,,,,,,,,,
1036,Psychiatric/Mental Health Nursing: Concepts and Clinical Applications,"This course focuses on a broad-based understanding and clinical application of mental health concepts and behavioral aberrations that occur in mental illness. Students analyze the nursing process as it relates to the impact mental health and mental illness have on individuals, families, communities, and the health care system. Prerequisites: 322, 332, 365, 372, 382.",432,4,NURS,NURS,,,,,,,,,,
